Angle; Time; Shield_Angle
16,30; 0,55107; 45
86,32; 0,48248; 45
76,22; 0,42227; 45
166,77; 0,83278; 45
130,61; 0,45610; 45
173,48; 0,97608; 45
69,99; 0,57503; 45
62,16; 0,57749; 45
165,07; 0,98814; 45
149,71; 0,92697; 45
129,15; 0,86401; 45
57,48; 0,48368; 45
170,01; 0,80751; 45
88,28; 0,74717; 45
156,77; 0,63597; 45
171,38; 0,51655; 40
151,38; 1,06928; 40
163,80; 1,07476; 40
119,53; 1,19250; 40
164,17; 0,75871; 40
123,79; 0,75132; 40
105,45; 1,15080; 40
122,09; 0,66191; 40
42,51; 0,49158; 40
86,48; 0,60448; 40
166,97; 0,71596; 40
64,91; 0,48036; 40
62,19; 0,65866; 40
89,13; 0,48100; 40
167,47; 0,91905; 40
99,79; 0,55347; 35
86,50; 0,53807; 35
85,45; 0,81882; 35
153,92; 0,75837; 35
120,31; 0,70597; 35
44,30; 1,00186; 35
40,65; 0,49286; 35
176,46; 1,00615; 35
60,70; 0,47819; 35
177,88; 1,02347; 35
168,88; 1,25147; 35
111,63; 0,56516; 35
168,56; 0,79153; 35
68,11; 0,48988; 35
67,13; 0,67413; 35
101,55; 1,40810; 30
126,06; 0,74818; 30
157,65; 1,17165; 30
173,92; 1,16260; 30
47,88; 0,39161; 30
38,65; 0,89868; 30
147,22; 1,32501; 30
107,35; 0,70813; 30
160,62; 0,95492; 30
141,24; 0,97475; 30
147,18; 0,99738; 30
92,90; 0,79523; 30
45,08; 0,51263; 30
133,67; 0,79169; 30
103,82; 1,91007; 30
108,51; 1,15309; 25
66,57; 0,56204; 25
36,95; 0,75830; 25
28,89; 0,54851; 25
172,44; 0,82813; 25
59,80; 0,53650; 25
129,90; 1,12347; 25
140,14; 1,46954; 25
148,24; 0,95018; 25
166,47; 0,91386; 25
93,56; 0,68269; 25
152,69; 1,26700; 25
111,01; 1,46357; 25
13,21; 0,47666; 25
86,33; 0,80801; 25
179,61; 1,18652; 20
138,58; 0,73933; 20
148,97; 1,17509; 20
3,56; 0,45480; 20
121,94; 1,09790; 20
73,01; 0,47706; 20
127,21; 1,03194; 20
141,40; 1,03239; 20
146,98; 0,76419; 20
124,36; 0,72516; 20
173,34; 1,24316; 20
1,39; 0,21334; 20
121,95; 1,22406; 20
7,78; 1,04788; 20
134,55; 1,04887; 20
100,88; 1,80765; 15
130,30; 1,66855; 15
129,06; 0,68837; 15
153,07; 0,81635; 15
61,94; 0,52007; 15
156,75; 1,30759; 15
134,72; 0,90376; 15
154,55; 1,56795; 15
168,66; 1,01190; 15
33,11; 0,90923; 15
113,16; 1,00360; 15
124,54; 0,98460; 15
58,06; 0,62483; 15
105,14; 0,83087; 15
90,57; 0,63710; 15
111,20; 0,63921; 45
68,31; 0,88495; 45
97,12; 0,51364; 45
165,12; 1,13286; 45
0,11; 0,46059; 45
107,79; 0,86917; 45
152,32; 0,95233; 45
58,60; 0,70381; 45
76,08; 0,98444; 45
118,87; 0,99060; 45
140,91; 1,06406; 45
148,03; 0,45961; 45
135,80; 0,85678; 45
162,21; 1,10750; 45
12,14; 0,69995; 45
