Angle; Time; Shield_Angle
117,12; 1,30750; 15
37,83; 0,52626; 15
174,19; 1,24867; 15
26,10; 0,55058; 15
151,69; 1,54726; 15
170,71; 1,00317; 15
74,65; 0,71371; 15
135,58; 1,40241; 15
178,83; 1,35048; 15
158,38; 1,09042; 15
83,31; 0,85062; 15
36,04; 0,93549; 15
170,40; 1,46799; 15
120,18; 1,54547; 15
175,86; 1,48943; 15
97,54; 0,81300; 45
73,65; 0,95105; 45
109,09; 1,00879; 45
107,97; 0,83322; 45
167,63; 1,16292; 45
143,31; 0,77419; 45
74,00; 0,69099; 45
129,12; 0,67076; 45
90,26; 0,51239; 45
148,64; 1,01883; 45
168,43; 1,07536; 45
131,97; 0,75821; 45
115,25; 0,99649; 45
153,81; 1,09123; 45
137,24; 0,66370; 45
42,49; 0,53844; 40
72,21; 0,73128; 40
173,54; 0,89586; 40
99,34; 0,63452; 40
171,86; 1,01576; 40
67,13; 0,51300; 40
142,69; 1,14316; 40
90,53; 0,53162; 40
162,35; 0,99956; 40
137,22; 0,70320; 40
94,09; 0,67804; 40
60,95; 0,62363; 40
149,34; 0,87115; 40
166,56; 0,79137; 40
114,78; 0,63089; 40
179,30; 0,86353; 35
100,42; 0,65965; 35
135,74; 0,73659; 35
138,89; 0,74487; 35
97,26; 0,54500; 35
117,47; 0,96434; 35
156,57; 1,08987; 35
38,70; 0,88873; 35
87,44; 0,62437; 35
118,82; 0,76913; 35
61,59; 0,69977; 35
100,04; 0,68355; 35
100,20; 0,65508; 35
54,67; 0,55597; 35
93,98; 0,61629; 35
86,71; 0,51462; 30
76,24; 0,54196; 30
53,59; 0,51947; 30
96,56; 0,59360; 30
174,71; 0,81323; 30
37,20; 0,84464; 30
158,36; 1,36282; 30
133,38; 1,02533; 30
103,41; 0,81955; 30
155,69; 0,93454; 30
154,26; 0,72696; 30
133,48; 0,69431; 30
119,46; 1,06812; 30
173,92; 0,77048; 30
123,00; 0,66446; 30
115,27; 0,60846; 25
168,38; 1,04901; 25
55,26; 0,48071; 25
179,20; 0,98386; 25
24,58; 1,02063; 25
91,27; 0,63449; 25
41,07; 0,77853; 25
161,37; 0,92456; 25
174,56; 0,85391; 25
160,69; 0,85306; 25
171,13; 1,20828; 25
37,61; 0,44647; 25
138,83; 0,76312; 25
4,28; 0,52301; 25
153,48; 1,13089; 25
69,10; 0,63644; 20
85,07; 0,79523; 20
100,72; 0,62970; 20
149,64; 0,77884; 20
153,67; 0,78674; 20
42,34; 0,46866; 20
84,88; 0,52014; 20
104,19; 0,96832; 20
95,95; 0,49747; 20
116,61; 1,06714; 20
91,66; 0,56387; 20
175,87; 1,18985; 20
177,25; 1,00583; 20
128,41; 0,84927; 20
102,02; 1,00781; 20
29,36; 0,39435; 15
139,80; 1,41208; 15
163,19; 1,08286; 15
160,95; 0,95505; 15
130,14; 1,26001; 15
126,64; 1,04639; 15
120,54; 1,15680; 15
140,51; 1,03186; 15
68,14; 0,82532; 15
142,80; 1,04990; 15
48,09; 0,83612; 15
133,13; 0,86612; 15
145,96; 1,98056; 15
147,37; 1,36054; 15
63,23; 1,94537; 15
