Angle; Time; Shield_Angle
94,25; 1,61095; 15
31,59; 1,01205; 15
121,42; 1,04172; 15
137,33; 1,18980; 15
167,96; 1,18294; 15
86,47; 0,93898; 15
120,28; 1,71680; 15
59,85; 0,73410; 15
70,82; 1,53195; 15
47,75; 0,67139; 15
133,90; 1,60538; 15
108,82; 1,84564; 15
129,29; 0,72910; 15
10,71; 1,24443; 15
66,26; 1,43459; 15
70,04; 0,68354; 45
129,69; 1,29207; 45
144,50; 0,96549; 45
103,50; 1,11875; 45
30,92; 0,69330; 45
175,43; 0,86070; 45
90,95; 0,71917; 45
151,98; 0,78703; 45
19,54; 0,66638; 45
146,16; 0,83272; 45
166,40; 0,73934; 45
83,12; 0,57119; 45
28,89; 0,93841; 45
110,58; 0,72487; 45
69,04; 1,02364; 45
32,26; 0,53152; 40
174,21; 1,16478; 40
65,28; 0,49964; 40
151,41; 0,81344; 40
135,98; 0,76934; 40
20,67; 0,61562; 40
87,47; 0,68813; 40
177,94; 1,76775; 40
142,98; 1,00713; 40
3,49; 0,81347; 40
178,36; 0,97112; 40
112,84; 0,71061; 40
162,70; 1,38707; 40
170,35; 0,99083; 40
165,34; 1,44482; 40
137,54; 0,61334; 35
93,90; 0,75900; 35
173,13; 1,19083; 35
42,79; 0,65080; 35
120,79; 1,18931; 35
160,28; 0,95935; 35
147,11; 0,65740; 35
118,76; 0,84197; 35
84,46; 0,79618; 35
142,17; 0,91792; 35
112,37; 1,08593; 35
126,79; 0,74583; 35
53,19; 0,95485; 35
164,74; 1,35594; 35
105,68; 0,76967; 35
107,16; 1,10394; 30
121,31; 0,96338; 30
79,52; 1,11366; 30
161,21; 0,87935; 30
34,81; 0,46247; 30
64,95; 0,65366; 30
72,87; 0,79077; 30
139,03; 0,93674; 30
147,17; 0,94277; 30
84,40; 0,62828; 30
50,88; 0,80874; 30
94,40; 0,77669; 30
56,46; 0,94640; 30
130,62; 0,82414; 30
83,14; 0,85178; 30
116,84; 0,59720; 25
159,58; 1,13466; 25
63,46; 0,62731; 25
176,91; 1,57598; 25
159,05; 1,54380; 25
145,69; 1,34280; 25
18,21; 0,46087; 25
33,96; 0,60290; 25
31,27; 0,44458; 25
148,28; 0,85584; 25
167,77; 0,98421; 25
155,22; 1,16999; 25
103,86; 0,80493; 25
7,96; 0,54282; 25
4,75; 0,63171; 25
51,44; 0,46041; 20
4,74; 0,59290; 20
37,38; 0,49824; 20
148,80; 0,95882; 20
107,74; 1,55692; 20
64,01; 1,37342; 20
113,34; 1,00549; 20
29,07; 0,47981; 20
159,99; 1,30530; 20
171,48; 1,03903; 20
153,57; 1,04411; 20
119,21; 1,06452; 20
72,61; 1,10458; 20
110,12; 0,98073; 20
116,01; 1,34142; 20
33,45; 0,43834; 15
101,59; 1,00408; 15
109,63; 1,29062; 15
47,92; 0,49316; 15
127,89; 0,78477; 15
167,94; 1,01486; 15
169,91; 1,26872; 15
80,69; 1,30761; 15
130,01; 0,96512; 15
97,06; 1,33617; 15
147,36; 1,39279; 15
155,94; 1,12192; 15
69,17; 0,70551; 15
178,28; 1,20070; 15
126,14; 1,38683; 15
