Angle, Time, Shield_Angle
110.21, 0.86348, 45
141.37, 1.00005, 45
126.50, 0.88335, 45
114.53, 0.88322, 45
114.18, 0.73338, 45
131.38, 0.78339, 45
83.16, 0.70001, 45
111.28, 0.73328, 45
131.37, 0.75027, 45
49.64, 0.68308, 45
120.88, 0.73350, 45
42.39, 0.53313, 45
172.99, 1.03340, 45
74.07, 0.96662, 45
53.01, 0.55009, 45
108.88, 0.94052, 45
154.44, 1.21396, 45
48.17, 0.81127, 45
171.21, 1.03956, 45
6.85, 0.64773, 45
120.25, 0.75906, 45
148.55, 0.90156, 45
138.94, 0.77818, 45
115.67, 0.67381, 45
56.95, 0.71157, 45
134.61, 0.74335, 45
109.39, 0.74346, 45
25.66, 0.53770, 45
101.40, 0.78470, 45
160.09, 1.01627, 45
89.80, 0.65669, 45
113.11, 1.31287, 45
144.11, 0.98972, 45
81.36, 0.90835, 45
28.09, 0.65856, 45
176.77, 1.34412, 45
156.75, 1.19740, 45
80.51, 1.08745, 45
117.16, 0.91227, 45
152.34, 0.72501, 45
65.32, 0.68353, 45
144.04, 0.91059, 45
123.98, 1.02886, 45
179.66, 0.92742, 45
100.66, 0.73562, 45
79,82; 1,00307; 25
134,24; 1,00541; 25
101,02; 0,77766; 25
114,02; 0,68250; 25
170,69; 1,45856; 25
44,44; 0,59623; 25
100,53; 0,93772; 25
111,43; 0,79345; 25
96,78; 0,94872; 25
176,77; 1,49141; 25
151,85; 1,22147; 25
88,79; 0,95979; 25
103,22; 0,84221; 25
106,06; 1,44947; 25
157,90; 1,11608; 25
34,52; 0,51360; 45
174,03; 0,91916; 45
154,08; 1,02597; 45
179,54; 0,88964; 45
141,91; 0,92421; 45
43,44; 0,75110; 45
147,60; 0,84643; 45
6,67; 0,70110; 45
131,95; 0,76684; 45
167,29; 0,88572; 45
158,06; 0,94107; 45
152,23; 0,96492; 45
173,81; 1,14299; 45
21,33; 1,16392; 45
77,64; 0,95232; 45
51,87; 0,88245; 40
103,76; 0,72923; 40
3,97; 0,54994; 40
45,52; 0,68285; 40
39,25; 0,63285; 40
59,83; 0,71922; 40
118,08; 0,76680; 40
81,71; 0,70183; 40
55,96; 0,75493; 40
118,30; 0,65842; 40
96,69; 0,96298; 40
164,67; 1,19518; 40
43,59; 0,97508; 40
37,94; 0,65947; 40
132,54; 0,88188; 40
175,02; 0,89440; 35
43,65; 0,75278; 35
90,49; 1,01104; 35
135,07; 0,96054; 35
159,23; 0,79631; 35
97,91; 0,70180; 35
33,39; 0,59739; 35
167,41; 0,99093; 35
22,75; 0,52761; 35
148,28; 0,98389; 35
126,84; 1,02409; 35
160,81; 0,94650; 35
142,79; 1,06487; 35
7,65; 0,63779; 35
125,30; 1,03878; 35
123,50; 0,83070; 30
100,78; 0,67872; 30
12,56; 0,54198; 30
162,35; 0,95249; 30
156,82; 0,95718; 30
89,96; 0,80525; 30
78,83; 0,63560; 30
138,42; 0,92209; 30
133,11; 0,99287; 30
