Angle; Time; Shield_Angle
140,68; 0,98473; 45
178,64; 0,64571; 45
116,30; 0,71825; 45
44,32; 0,60423; 45
140,26; 0,69734; 45
96,65; 0,47540; 45
133,18; 0,57700; 45
157,31; 0,70702; 45
113,98; 0,71402; 45
177,84; 0,70036; 45
122,67; 0,58301; 45
144,80; 0,60715; 45
155,41; 0,76978; 45
171,98; 0,94119; 45
176,32; 0,77907; 45
107,70; 0,49916; 45
37,90; 1,00670; 45
148,95; 0,75493; 45
172,26; 0,52486; 45
132,44; 0,54680; 45
105,89; 0,53679; 45
143,15; 0,55760; 45
125,14; 0,59578; 45
96,60; 0,59477; 45
73,80; 0,85692; 45
89,92; 0,59319; 45
133,50; 0,59308; 45
63,37; 0,69798; 45
135,07; 0,72455; 45
80,27; 0,46925; 45
55,93; 0,55785; 40
99,88; 0,47641; 40
156,17; 0,77397; 40
131,50; 0,50534; 40
155,46; 0,72711; 40
133,29; 0,57527; 40
155,20; 0,88434; 40
100,04; 0,73288; 40
143,73; 0,58949; 40
154,91; 0,57265; 40
127,39; 0,52225; 40
138,28; 1,18587; 40
102,62; 0,58453; 40
57,77; 0,49959; 40
176,58; 0,71909; 40
62,88; 0,43063; 35
56,36; 0,52460; 35
159,57; 0,71429; 35
159,27; 0,53357; 35
131,61; 0,78650; 35
99,81; 0,69370; 35
96,78; 0,63907; 35
84,84; 0,44351; 35
78,67; 0,47040; 35
30,12; 0,79895; 35
130,82; 0,49350; 35
69,64; 0,39798; 35
148,68; 0,84991; 35
100,28; 0,67114; 35
56,70; 0,46350; 35
56,06; 0,48572; 30
97,63; 0,41354; 30
168,72; 0,85373; 30
72,48; 1,00830; 30
136,46; 0,70410; 30
97,23; 0,67831; 30
101,54; 0,61432; 30
7,99; 0,65451; 30
33,93; 0,67969; 30
39,59; 0,54919; 30
136,49; 1,01947; 30
21,38; 1,11227; 30
119,18; 0,73172; 30
31,29; 0,88556; 30
0,02; 0,74515; 30
84,29; 1,01569; 25
175,80; 0,92853; 25
102,63; 0,65558; 25
132,69; 0,95700; 25
139,55; 0,64938; 25
73,47; 0,66290; 25
9,28; 0,67014; 25
98,30; 0,59824; 25
149,65; 0,87347; 25
142,89; 0,78238; 25
142,55; 1,13013; 25
159,83; 1,01025; 25
122,71; 0,61520; 25
129,23; 0,62128; 25
38,84; 0,61346; 25
133,14; 1,65131; 20
112,23; 0,90781; 20
21,20; 0,94034; 20
18,65; 0,66986; 20
75,34; 0,86124; 20
31,63; 0,51102; 20
133,20; 0,78491; 20
146,22; 0,69800; 20
174,30; 1,10687; 20
133,02; 0,87405; 20
135,63; 0,71875; 20
9,48; 0,79871; 20
139,82; 0,87354; 20
141,25; 0,72833; 20
65,48; 0,54016; 20
117,74; 0,72504; 15
37,20; 0,72592; 15
101,93; 0,46576; 15
90,68; 0,97525; 15
64,90; 0,50211; 15
143,71; 1,08063; 15
80,80; 0,48642; 15
88,38; 1,07318; 15
70,59; 0,51981; 15
27,50; 0,53204; 15
168,71; 1,46936; 15
125,91; 1,01263; 15
116,52; 0,65848; 15
114,23; 0,58398; 15
13,52; 0,55438; 15
