Angle; Time; Shield_Angle
143,50; 0,66857; 45
30,62; 0,59175; 45
77,43; 0,71093; 45
65,41; 0,47727; 45
77,72; 0,43990; 45
172,47; 0,59173; 45
147,48; 1,09838; 45
135,82; 0,55753; 45
119,84; 0,55563; 45
121,19; 1,16623; 45
49,30; 0,86760; 45
115,38; 0,97137; 45
99,72; 0,48503; 45
138,78; 0,61025; 45
23,22; 0,78105; 45
43,90; 0,87496; 45
103,26; 0,52770; 45
10,20; 0,51407; 45
147,24; 0,54226; 45
177,89; 0,48192; 45
95,75; 0,45391; 45
9,26; 0,55101; 45
141,67; 0,46918; 45
119,90; 0,41755; 45
10,51; 0,48115; 45
171,86; 0,86029; 45
92,20; 0,44727; 45
158,43; 0,65853; 45
146,58; 1,47407; 45
60,89; 0,73649; 45
154,92; 0,80804; 45
64,42; 0,45084; 45
28,24; 0,37257; 45
118,49; 0,51835; 45
150,36; 0,62515; 45
109,60; 0,51040; 45
115,10; 0,46870; 45
117,26; 0,43822; 45
123,97; 0,86741; 45
142,51; 0,76970; 45
137,62; 0,49514; 45
62,54; 0,39394; 45
158,69; 0,77737; 45
171,81; 0,63424; 45
168,98; 0,53970; 45
159,70; 0,54540; 40
65,69; 0,82854; 40
99,52; 0,46886; 40
85,36; 0,67301; 40
100,59; 0,66689; 40
154,61; 0,80581; 40
53,12; 0,38649; 40
164,86; 0,66646; 40
114,81; 0,45010; 40
177,05; 0,96442; 40
62,66; 0,35217; 40
130,29; 0,51604; 40
64,72; 0,52204; 40
76,26; 0,46141; 40
150,77; 0,76629; 40
32,23; 0,35259; 35
16,76; 0,49644; 35
48,92; 0,46239; 35
80,65; 0,44237; 35
49,07; 0,54322; 35
26,08; 0,58904; 35
122,08; 0,62775; 35
66,44; 0,56583; 35
126,88; 0,56461; 35
123,33; 0,75882; 35
30,14; 0,40484; 35
176,14; 0,62077; 35
130,75; 0,43317; 35
13,71; 0,51297; 35
108,84; 0,45899; 35
82,32; 0,94083; 30
178,35; 1,11453; 30
108,33; 0,49935; 30
158,40; 0,73765; 30
84,62; 0,45654; 30
133,82; 1,14352; 30
142,85; 0,50899; 30
154,86; 0,59844; 30
81,30; 0,39226; 30
123,76; 0,52094; 30
164,49; 0,56739; 30
170,83; 0,80622; 30
116,82; 0,68227; 30
117,96; 0,63950; 30
174,58; 0,81460; 30
146,22; 0,73837; 25
66,61; 0,39106; 25
51,33; 0,41003; 25
56,21; 0,60786; 25
48,67; 0,35536; 25
132,03; 0,97623; 25
9,05; 1,00153; 25
131,48; 0,92612; 25
163,22; 0,85737; 25
168,26; 0,73927; 25
166,10; 1,04193; 25
31,27; 0,46066; 25
77,84; 0,45857; 25
59,02; 0,43170; 25
140,07; 0,74150; 25
121,92; 0,75239; 20
146,84; 0,66405; 20
156,84; 0,98112; 20
174,20; 1,01917; 20
158,84; 0,80395; 20
163,47; 0,95907; 20
32,78; 0,66940; 20
113,13; 0,69749; 20
131,89; 0,72588; 20
46,28; 0,55457; 20
24,16; 0,43824; 20
138,09; 0,81767; 20
107,98; 0,51998; 20
165,68; 0,74981; 20
174,85; 0,67405; 20
143,89; 1,32102; 15
171,15; 0,75864; 15
70,44; 0,75525; 15
103,50; 0,76065; 15
119,75; 0,60817; 15
93,74; 0,56641; 15
164,56; 0,74025; 15
101,26; 1,11935; 15
60,48; 0,63481; 15
55,53; 0,53447; 15
63,78; 0,49118; 15
102,32; 0,80466; 15
147,90; 0,92278; 15
47,66; 0,41371; 15
153,55; 1,22908; 15
44,80; 0,72492; 25
155,21; 0,85862; 25
73,53; 0,83402; 25
166,07; 0,86008; 25
56,31; 0,46100; 25
161,74; 1,36657; 25
124,54; 0,64088; 25
40,21; 0,64679; 25
55,03; 0,70170; 25
163,39; 0,98080; 25
101,67; 0,81477; 25
152,86; 0,67983; 25
11,15; 0,96114; 25
72,19; 0,71927; 25
65,38; 0,67628; 25
111,16; 1,00740; 45
145,18; 1,03651; 45
21,45; 0,05270; 45
168,80; 0,91837; 45
107,18; 0,89648; 45
18,42; 0,56271; 45
174,80; 0,88516; 45
23,81; 0,49521; 45
100,04; 0,67746; 45
153,65; 0,90491; 45
18,05; 0,69089; 45
124,03; 0,47196; 45
141,15; 0,89619; 45
40,01; 0,47399; 45
117,74; 0,50804; 45
28,48; 0,57747; 45
47,86; 0,42455; 45
174,79; 0,96440; 45
114,64; 0,78964; 45
74,09; 0,44237; 45
146,30; 0,70289; 45
88,24; 0,40268; 45
126,91; 0,97305; 45
28,05; 0,52112; 45
78,04; 0,50853; 45
110,87; 0,52631; 45
114,46; 0,42048; 45
46,02; 0,45042; 45
73,72; 0,43167; 45
65,49; 0,53060; 45
